Files,HOMO (eV),LUMO (eV),LUMO+1 (eV),Bandgap (eV),LUMO-lumo+1 gap (eV)
st1,-5.084968,-3.420679,-2.915431,1.664289,0.5052479999999999
st3,-5.080899,-3.419245,-2.906509,1.6616539999999995,0.5127360000000003
st5,-5.076716,-3.41823,-2.897946,1.6584860000000003,0.5202839999999997
st7,-5.072499,-3.417623,-2.889906,1.6548759999999998,0.527717
st9,-5.06833,-3.4174,-2.88258,1.6509299999999991,0.5348200000000003
st11,-5.064262,-3.41753,-2.876175,1.646732,0.5413550000000003
st13,-5.06033,-3.417987,-2.870937,1.6423430000000003,0.54705
st15,-5.056574,-3.418744,-2.867137,1.6378300000000006,0.5516069999999997
st17,-5.05301,-3.41976,-2.865083,1.6332499999999994,0.5546770000000003
st19,-5.049629,-3.420992,-2.865091,1.6286370000000003,0.555901
st21,-5.046414,-3.422398,-2.867336,1.6240160000000006,0.5550619999999999
st23,-5.043353,-3.423937,-2.871586,1.6194159999999995,0.5523509999999998
st25,-5.040443,-3.425578,-2.877244,1.614865,0.5483339999999997
st27,-5.037675,-3.427283,-2.883677,1.610392,0.543606
st29,-5.035024,-3.429002,-2.890387,1.6060219999999998,0.5386150000000001
st31,-5.032489,-3.430699,-2.89704,1.6017899999999998,0.5336590000000001
st33,-5.030066,-3.432343,-2.903414,1.5977229999999998,0.5289289999999998
st35,-5.027756,-3.433899,-2.909347,1.5938570000000003,0.5245519999999999
st37,-5.025551,-3.435341,-2.914726,1.59021,0.5206150000000003
st39,-5.023452,-3.436638,-2.919453,1.586814,0.517185
st41,-5.021489,-3.437769,-2.923478,1.58372,0.514291
st43,-5.019688,-3.438724,-2.926756,1.5809640000000005,0.511968
st45,-5.018094,-3.439492,-2.929274,1.5786019999999996,0.5102180000000001
st47,-5.01675,-3.440073,-2.931036,1.576677,0.5090369999999997
st49,-5.015682,-3.440469,-2.932065,1.5752129999999998,0.5084040000000001
st51,-5.014917,-3.440682,-2.932399,1.5742349999999998,0.5082829999999996
st53,-5.014483,-3.440715,-2.932085,1.5737680000000005,0.5086300000000001
st55,-5.014405,-3.440572,-2.931189,1.573833,0.5093830000000001
st57,-5.014701,-3.440268,-2.929793,1.5744329999999995,0.510475
st59,-5.015392,-3.439823,-2.928009,1.5755690000000002,0.5118140000000002
st61,-5.016484,-3.439266,-2.925967,1.5772180000000002,0.513299
st63,-5.017976,-3.438625,-2.923808,1.579351,0.5148169999999999
st65,-5.019854,-3.437928,-2.92169,1.5819259999999995,0.516238
st67,-5.022111,-3.437201,-2.919774,1.5849099999999998,0.5174270000000001
st69,-5.024734,-3.436476,-2.918229,1.5882579999999995,0.5182469999999997
st71,-5.027703,-3.435786,-2.917241,1.591917,0.5185449999999996
st73,-5.031004,-3.435146,-2.916958,1.5958580000000002,0.5181879999999999
st75,-5.034614,-3.434576,-2.917521,1.6000380000000003,0.517055
st77,-5.03851,-3.4341,-2.919035,1.6044099999999997,0.5150649999999999
st79,-5.042654,-3.433732,-2.921548,1.6089219999999995,0.512184
st81,-5.047021,-3.433495,-2.925068,1.6135259999999998,0.5084270000000002
st83,-5.051587,-3.433398,-2.929541,1.6181889999999997,0.503857
st85,-5.056342,-3.433454,-2.934874,1.622888,0.4985799999999996
st87,-5.061274,-3.433666,-2.940952,1.627608,0.4927140000000003
st89,-5.066363,-3.434042,-2.947659,1.632321,0.486383
st91,-5.07159,-3.434592,-2.954888,1.6369979999999995,0.4797039999999999
st93,-5.076946,-3.435317,-2.962521,1.6416290000000004,0.4727959999999997
st95,-5.08241,-3.436217,-2.970454,1.6461930000000002,0.4657629999999999
st97,-5.087978,-3.437288,-2.978591,1.6506899999999995,0.4586969999999999
st99,-5.09365,-3.438516,-2.986825,1.6551340000000003,0.4516909999999998
st101,-5.09942,-3.439886,-2.995055,1.6595340000000005,0.4448310000000002
st103,-5.105279,-3.441384,-3.003188,1.663895,0.438196
st105,-5.111207,-3.442986,-3.011124,1.6682210000000004,0.4318619999999997
st107,-5.117173,-3.44467,-3.018768,1.6725030000000003,0.4259019999999998
st109,-5.123132,-3.446403,-3.026027,1.676729,0.4203760000000001
st111,-5.129053,-3.448157,-3.032829,1.6808959999999995,0.4153280000000001
st113,-5.134895,-3.449903,-3.039109,1.6849920000000005,0.4107940000000001
st115,-5.140596,-3.451604,-3.044807,1.6889920000000005,0.4067970000000001
st117,-5.146102,-3.453227,-3.049868,1.692875,0.403359
st119,-5.151334,-3.454729,-3.054231,1.6966050000000004,0.4004979999999998
st121,-5.156189,-3.456075,-3.057846,1.7001140000000006,0.3982289999999997
st123,-5.160265,-3.45722,-3.060662,1.703045,0.3965579999999997
st125,-5.158918,-3.458129,-3.06265,1.700789,0.3954789999999999
st127,-5.152973,-3.458779,-3.063788,1.6941940000000004,0.3949909999999996
st129,-5.146902,-3.459143,-3.064062,1.6877589999999998,0.3950810000000002
st131,-5.14106,-3.459207,-3.063465,1.6818530000000005,0.3957420000000002
st133,-5.135531,-3.458956,-3.062003,1.676575,0.3969530000000003
st135,-5.130374,-3.458383,-3.059694,1.6719909999999998,0.398689
st137,-5.125619,-3.457479,-3.056561,1.6681400000000002,0.4009180000000003
st139,-5.12127,-3.45624,-3.052635,1.6650299999999998,0.4036050000000002
st141,-5.117328,-3.454665,-3.047954,1.6626629999999998,0.406711
st143,-5.113768,-3.452759,-3.04256,1.6610090000000004,0.410199
st145,-5.110559,-3.450534,-3.036503,1.660025,0.414031
st147,-5.107675,-3.448003,-3.029848,1.6596720000000005,0.418155
st149,-5.105081,-3.44518,-3.022647,1.659901,0.422533
st151,-5.102757,-3.442077,-3.014949,1.6606800000000006,0.4271279999999997
st153,-5.100696,-3.438709,-3.006804,1.6619870000000003,0.431905
st155,-5.098917,-3.435098,-2.998263,1.6638190000000002,0.4368349999999998
st157,-5.097477,-3.431261,-2.989357,1.6662159999999997,0.4419040000000001
st159,-5.096454,-3.427212,-2.980128,1.6692419999999997,0.4470839999999998
st161,-5.095959,-3.422967,-2.970622,1.6729919999999998,0.4523449999999998
st163,-5.096087,-3.418556,-2.960888,1.6775309999999997,0.4576679999999999
st165,-5.096928,-3.414002,-2.950962,1.682926,0.4630399999999999
st167,-5.09856,-3.409338,-2.940906,1.689222,0.4684319999999999
st169,-5.101053,-3.404586,-2.930768,1.6964670000000002,0.4738180000000001
st171,-5.10445,-3.399774,-2.920597,1.704676,0.4791769999999999
st173,-5.108768,-3.394937,-2.910445,1.7138310000000003,0.4844919999999999
st175,-5.114036,-3.390127,-2.900378,1.7239089999999997,0.4897490000000002
st177,-5.120215,-3.385379,-2.890445,1.734836,0.4949339999999997
st179,-5.127253,-3.380732,-2.880698,1.7465209999999995,0.5000339999999999
st181,-5.135077,-3.376224,-2.871202,1.7588529999999998,0.5050220000000003
st183,-5.143611,-3.371905,-2.86204,1.771706,0.509865
st185,-5.152693,-3.367809,-2.853282,1.7848840000000004,0.5145269999999997
st187,-5.162101,-3.36398,-2.845017,1.7981209999999996,0.5189630000000003
st189,-5.171375,-3.360463,-2.837338,1.810912,0.5231250000000003
st191,-5.178467,-3.357295,-2.830341,1.821172,0.5269539999999999
st193,-5.178963,-3.354509,-2.824112,1.824454,0.5303970000000002
st195,-5.176413,-3.352141,-2.818737,1.824272,0.533404
st197,-5.173092,-3.350222,-2.814292,1.8228699999999995,0.53593
st199,-5.169425,-3.348779,-2.810832,1.8206460000000004,0.537947
st201,-5.165579,-3.347843,-2.808386,1.817736,0.5394570000000001
st203,-5.161649,-3.347429,-2.806942,1.81422,0.5404870000000002
st205,-5.157718,-3.34755,-2.806457,1.810168,0.541093
st207,-5.15385,-3.348204,-2.806851,1.8056460000000003,0.541353
st209,-5.150102,-3.349391,-2.808027,1.8007110000000006,0.5413639999999997
st211,-5.146529,-3.351103,-2.809873,1.795426,0.5412300000000001
st213,-5.143173,-3.353322,-2.812272,1.789851,0.5410499999999998
st215,-5.140074,-3.356021,-2.815118,1.784053,0.5409030000000001
st217,-5.137262,-3.359173,-2.81831,1.7780889999999996,0.5408630000000003
st219,-5.134762,-3.362742,-2.821761,1.7720200000000004,0.5409809999999999
st221,-5.132583,-3.366688,-2.825398,1.7658950000000004,0.54129
st223,-5.130734,-3.370973,-2.829167,1.759761,0.5418060000000002
st225,-5.129215,-3.375554,-2.833037,1.753661,0.5425170000000001
st227,-5.12801,-3.380387,-2.83699,1.747623,0.5433969999999997
st229,-5.127108,-3.38543,-2.841029,1.7416779999999998,0.5444010000000001
st231,-5.126491,-3.39063,-2.845169,1.735861,0.545461
st233,-5.126137,-3.395947,-2.849438,1.73019,0.5465089999999999
st235,-5.126015,-3.401324,-2.85387,1.724691,0.5474539999999997
st237,-5.126084,-3.406714,-2.858506,1.7193699999999996,0.5482079999999998
st239,-5.126296,-3.412062,-2.863375,1.7142339999999998,0.5486870000000001
st241,-5.126607,-3.41732,-2.8685,1.7092869999999998,0.5488200000000001
st243,-5.126959,-3.422433,-2.873873,1.7045260000000004,0.5485599999999997
st245,-5.127308,-3.427354,-2.879467,1.6999540000000004,0.5478869999999998
st247,-5.127606,-3.432031,-2.885226,1.6955750000000005,0.546805
st249,-5.127799,-3.436416,-2.891074,1.6913830000000003,0.5453419999999998
st251,-5.127848,-3.440475,-2.896931,1.687373,0.5435440000000002
