Files,HOMO (eV),LUMO (eV),LUMO+1 (eV),Bandgap (eV),LUMO-LUMO+1 gap (eV)
st1,-4.459151,-3.165151,-2.579511,1.2940000000000005,0.5856399999999997
st3,-4.459309,-3.164434,-2.581749,1.2948750000000002,0.5826850000000001
st5,-4.45646,-3.163176,-2.585074,1.293284,0.5781019999999999
st7,-4.450596,-3.160739,-2.588643,1.289857,0.5720960000000002
st9,-4.443577,-3.157794,-2.592242,1.2857830000000003,0.5655519999999998
st11,-4.436641,-3.154748,-2.595699,1.2818929999999995,0.5590489999999999
st13,-4.429144,-3.15089,-2.598624,1.278254,0.5522659999999999
st15,-4.420611,-3.145324,-2.600615,1.275287,0.5447090000000001
st17,-4.412801,-3.13832,-2.601332,1.2744809999999998,0.536988
st19,-4.407414,-3.130641,-2.60071,1.2767730000000004,0.5299309999999999
st21,-4.403928,-3.122376,-2.599059,1.2815519999999996,0.523317
st23,-4.400517,-3.113232,-2.596514,1.2872849999999998,0.516718
st25,-4.397166,-3.103743,-2.593221,1.2934230000000002,0.5105219999999999
st27,-4.395366,-3.094898,-2.589568,1.300468,0.5053300000000003
st29,-4.395318,-3.087421,-2.586457,1.3078969999999996,0.5009640000000002
st31,-4.395511,-3.081743,-2.584683,1.313768,0.4970599999999998
st33,-4.395008,-3.078214,-2.584511,1.3167939999999998,0.493703
st35,-4.395115,-3.076767,-2.585899,1.318348,0.4908679999999998
st37,-4.397318,-3.076999,-2.588899,1.3203190000000005,0.4880999999999997
st39,-4.400833,-3.078614,-2.593558,1.3222190000000005,0.4850560000000001
st41,-4.403618,-3.081559,-2.599833,1.322059,0.4817260000000001
st43,-4.40549,-3.0856,-2.607961,1.3198900000000005,0.4776389999999999
st45,-4.408236,-3.090425,-2.618618,1.3178109999999994,0.4718070000000001
st47,-4.412148,-3.095989,-2.631759,1.3161590000000003,0.4642299999999997
st49,-4.414992,-3.102505,-2.646187,1.312487,0.456318
st51,-4.415004,-3.109976,-2.660677,1.3050279999999996,0.4492989999999999
st53,-4.414156,-3.118349,-2.674646,1.2958070000000004,0.4437029999999997
st55,-4.415484,-3.127371,-2.687253,1.288113,0.440118
st57,-4.418957,-3.136239,-2.697451,1.2827179999999996,0.4387880000000002
st59,-4.422413,-3.143649,-2.704827,1.2787639999999998,0.438822
st61,-4.426224,-3.148996,-2.709809,1.2772280000000005,0.439187
st63,-4.433229,-3.152544,-2.712763,1.280685,0.439781
st65,-4.443738,-3.154491,-2.713728,1.2892469999999996,0.440763
st67,-4.45421,-3.154676,-2.713043,1.299534,0.4416329999999999
st69,-4.460302,-3.152985,-2.711261,1.3073170000000005,0.4417240000000002
st71,-4.45972,-3.150273,-2.708733,1.309447,0.4415399999999998
st73,-4.451466,-3.147655,-2.705289,1.303811,0.4423659999999998
st75,-4.437029,-3.145425,-2.700943,1.291604,0.4444819999999998
st77,-4.419168,-3.143034,-2.69618,1.276134,0.4468540000000001
st79,-4.401724,-3.140345,-2.691336,1.2613789999999998,0.4490089999999997
st81,-4.389442,-3.138114,-2.686075,1.251328,0.4520389999999996
st83,-4.383953,-3.136823,-2.680173,1.2471299999999998,0.4566500000000002
st85,-4.383321,-3.136083,-2.674586,1.2472379999999994,0.461497
st87,-4.385426,-3.13524,-2.670296,1.2501859999999998,0.464944
st89,-4.390948,-3.134477,-2.666984,1.256471,0.4674930000000001
st91,-4.400875,-3.13409,-2.663368,1.266785,0.4707219999999998
st93,-4.413538,-3.133499,-2.659036,1.280039,0.4744630000000001
st95,-4.42588,-3.131477,-2.654375,1.2944030000000004,0.4771019999999999
st97,-4.437242,-3.127537,-2.649051,1.3097050000000006,0.4784859999999997
st99,-4.449954,-3.122421,-2.641897,1.327533,0.4805239999999999
st101,-4.464485,-3.116542,-2.632366,1.347943,0.4841759999999997
st103,-4.477718,-3.109628,-2.621631,1.3680900000000005,0.487997
st105,-4.486753,-3.101694,-2.610888,1.385059,0.4908060000000001
st107,-4.492638,-3.093717,-2.6,1.3989210000000003,0.4937169999999997
st109,-4.496994,-3.086601,-2.58854,1.410393,0.4980609999999998
st111,-4.498752,-3.079877,-2.57717,1.4188749999999994,0.502707
st113,-4.496507,-3.072694,-2.566783,1.4238130000000004,0.5059109999999998
st115,-4.491366,-3.064997,-2.556889,1.4263690000000002,0.508108
st117,-4.486266,-3.057596,-2.546562,1.4286699999999994,0.511034
st119,-4.481957,-3.050841,-2.536192,1.4311160000000005,0.5146490000000004
st121,-4.476594,-3.044544,-2.527447,1.4320500000000005,0.5170970000000001
st123,-4.468913,-3.038799,-2.521206,1.4301139999999997,0.5175930000000002
st125,-4.460071,-3.034424,-2.517327,1.425647,0.5170970000000001
st127,-4.451363,-3.032144,-2.516069,1.4192189999999996,0.5160750000000003
st129,-4.441777,-3.031469,-2.517713,1.410308,0.5137559999999999
st131,-4.429213,-3.03106,-2.521102,1.3981529999999998,0.5099580000000001
st133,-4.413109,-3.030044,-2.523785,1.3830650000000002,0.506259
st135,-4.395335,-3.028815,-2.524352,1.3665200000000004,0.5044629999999999
st137,-4.377762,-3.027867,-2.522986,1.3498949999999996,0.5048810000000001
st139,-4.36031,-3.026679,-2.520126,1.333631,0.5065530000000003
st141,-4.341952,-3.024667,-2.515658,1.317285,0.5090089999999998
st143,-4.323278,-3.022639,-2.50972,1.3006390000000003,0.5129189999999997
st145,-4.30667,-3.02253,-2.503691,1.2841400000000005,0.5188390000000003
st147,-4.2927,-3.025156,-2.499476,1.267544,0.5256799999999999
st149,-4.279329,-3.029617,-2.497559,1.2497119999999995,0.5320580000000001
st151,-4.265067,-3.034975,-2.496726,1.230092,0.5382490000000004
st153,-4.251791,-3.041805,-2.496552,1.2099859999999998,0.5452530000000002
st155,-4.242394,-3.050911,-2.498226,1.1914829999999998,0.5526850000000003
st157,-4.236984,-3.061557,-2.502464,1.1754269999999996,0.5590930000000003
st159,-4.233262,-3.072258,-2.507887,1.1610039999999997,0.564371
st161,-4.230222,-3.082792,-2.512659,1.1474300000000004,0.5701329999999998
st163,-4.229765,-3.094203,-2.51665,1.1355620000000006,0.577553
st165,-4.233828,-3.106795,-2.521114,1.127033,0.5856810000000001
st167,-4.241286,-3.119359,-2.52664,1.1219269999999997,0.5927190000000002
st169,-4.248949,-3.130372,-2.53181,1.1185769999999997,0.5985619999999998
st171,-4.255877,-3.139585,-2.534933,1.116292,0.6046519999999997
st173,-4.26427,-3.147165,-2.535905,1.1171049999999996,0.6112600000000001
st175,-4.275691,-3.152437,-2.535632,1.1232540000000002,0.6168049999999998
st177,-4.287979,-3.154175,-2.533982,1.133804,0.620193
st179,-4.297783,-3.152468,-2.530207,1.145315,0.622261
st181,-4.305028,-3.148668,-2.524678,1.1563600000000005,0.6239899999999996
st183,-4.312349,-3.14373,-2.518891,1.168619,0.6248390000000001
st185,-4.320458,-3.137848,-2.514397,1.1826100000000004,0.6234509999999998
st187,-4.326901,-3.131275,-2.51151,1.1956260000000003,0.6197650000000001
st189,-4.330527,-3.12484,-2.509589,1.2056870000000002,0.6152509999999998
st191,-4.333913,-3.118933,-2.508143,1.2149799999999995,0.6107900000000002
st193,-4.339806,-3.113158,-2.507556,1.2266480000000004,0.6056019999999998
st195,-4.347609,-3.107163,-2.508287,1.2404460000000004,0.5988759999999997
st197,-4.355016,-3.100886,-2.50959,1.25413,0.5912959999999998
st199,-4.361976,-3.094573,-2.510856,1.2674030000000005,0.583717
st201,-4.37063,-3.088552,-2.512984,1.2820780000000005,0.5755680000000001
st203,-4.381771,-3.083217,-2.516935,1.2985539999999998,0.5662819999999997
st205,-4.39329,-3.078732,-2.521851,1.3145580000000003,0.5568810000000002
st207,-4.403207,-3.075026,-2.526479,1.3281810000000005,0.5485469999999997
st209,-4.412251,-3.072041,-2.530547,1.3402100000000003,0.5414940000000001
st211,-4.422428,-3.069914,-2.534194,1.3525140000000002,0.53572
st213,-4.433569,-3.068281,-2.536769,1.3652880000000005,0.5315119999999998
st215,-4.443222,-3.066299,-2.537159,1.3769229999999997,0.5291399999999999
st217,-4.449891,-3.063847,-2.535289,1.386044,0.5285579999999999
st219,-4.454658,-3.061647,-2.53197,1.3930110000000004,0.529677
st221,-4.458005,-3.060396,-2.528343,1.397609,0.5320529999999999
st223,-4.454508,-3.060131,-2.52546,1.3943769999999995,0.5346710000000003
st225,-4.444955,-3.061177,-2.524467,1.3837780000000004,0.5367099999999998
st227,-4.435175,-3.064304,-2.526157,1.3708710000000002,0.5381469999999999
st229,-4.427496,-3.069752,-2.530728,1.3577439999999998,0.539024
st231,-4.421634,-3.077014,-2.538602,1.34462,0.5384120000000001
st233,-4.416234,-3.085533,-2.54997,1.3307010000000004,0.5355629999999998
st235,-4.410862,-3.094915,-2.56405,1.315947,0.5308649999999999
st237,-4.405973,-3.104406,-2.578833,1.3015670000000004,0.5255730000000001
st239,-4.401871,-3.113256,-2.593267,1.288615,0.5199889999999998
st241,-4.397795,-3.121286,-2.607691,1.2765090000000003,0.513595
st243,-4.393104,-3.129007,-2.622201,1.264097,0.5068060000000001
st245,-4.387926,-3.13676,-2.635675,1.251166,0.5010850000000002
st247,-4.383072,-3.144367,-2.64724,1.2387050000000004,0.4971269999999999
st249,-4.379199,-3.152021,-2.657768,1.227178,0.494253
st251,-4.376288,-3.160468,-2.6684,1.21582,0.4920679999999997
st253,-4.374492,-3.170031,-2.678854,1.2044610000000002,0.491177
st255,-4.374331,-3.179693,-2.688017,1.194638,0.491676
st257,-4.376404,-3.188002,-2.695649,1.188402,0.492353
st259,-4.380632,-3.194512,-2.702273,1.1861200000000005,0.4922390000000001
st261,-4.386762,-3.199811,-2.70804,1.186951,0.4917709999999999
st263,-4.394508,-3.203875,-2.712394,1.190633,0.4914809999999998
st265,-4.403548,-3.206145,-2.714929,1.197403,0.4912159999999996
st267,-4.413406,-3.207098,-2.716541,1.2063080000000004,0.4905569999999999
st269,-4.423309,-3.208531,-2.718756,1.214778,0.4897749999999998
st271,-4.432289,-3.211841,-2.722373,1.2204479999999998,0.489468
st273,-4.43932,-3.216834,-2.72689,1.2224860000000004,0.4899439999999999
st275,-4.44348,-3.222824,-2.731842,1.220656,0.4909820000000002
st277,-4.444826,-3.229895,-2.737558,1.214931,0.492337
st279,-4.444809,-3.238422,-2.744093,1.2063870000000003,0.494329
st281,-4.443434,-3.247713,-2.750203,1.1957209999999998,0.4975100000000001
st283,-4.440324,-3.25624,-2.754545,1.1840840000000004,0.5016950000000002
st285,-4.436223,-3.263185,-2.757549,1.173038,0.505636
st287,-4.432322,-3.268838,-2.76063,1.163484,0.5082080000000002
st289,-4.429135,-3.273648,-2.764136,1.1554869999999997,0.509512
st291,-4.426399,-3.277275,-2.7672,1.149124,0.5100750000000001
st293,-4.424246,-3.279311,-2.769691,1.1449350000000005,0.50962
st295,-4.423216,-3.280283,-2.772599,1.1429330000000002,0.5076839999999998
st297,-4.423239,-3.281407,-2.776124,1.1418319999999995,0.5052830000000004
st299,-4.42316,-3.283226,-2.778667,1.1399340000000002,0.504559
st301,-4.421708,-3.285001,-2.778786,1.136707,0.5062149999999996
st303,-4.419013,-3.286307,-2.777106,1.1327059999999998,0.509201
st305,-4.41597,-3.287806,-2.7748,1.128164,0.5130059999999999
st307,-4.413173,-3.290543,-2.77227,1.1226299999999996,0.5182730000000002
st309,-4.410652,-3.2943,-2.769554,1.116352,0.5247459999999999
st311,-4.408945,-3.298525,-2.767619,1.11042,0.5309060000000003
st315,-4.41144,-3.309423,-2.769807,1.102017,0.5396159999999997
st317,-4.41525,-3.316397,-2.773472,1.0988530000000003,0.5429249999999999
st319,-4.418066,-3.323186,-2.777768,1.0948799999999994,0.5454180000000002
st321,-4.416036,-3.329242,-2.782246,1.0867940000000005,0.5469959999999996
st323,-4.411717,-3.334859,-2.786663,1.0768580000000003,0.5481959999999999
st325,-4.408993,-3.340456,-2.791155,1.0685369999999996,0.5493010000000003
st327,-4.408669,-3.345744,-2.795962,1.062925,0.549782
st329,-4.410111,-3.350271,-2.80113,1.0598399999999994,0.5491410000000001
st331,-4.413212,-3.353819,-2.806283,1.0593929999999996,0.547536
st333,-4.419289,-3.356275,-2.811119,1.063014,0.545156
st335,-4.429264,-3.357515,-2.815767,1.071749,0.5417479999999997
st337,-4.441481,-3.357018,-2.819848,1.0844629999999995,0.5371700000000001
st339,-4.453234,-3.354387,-2.82243,1.098847,0.5319569999999998
st341,-4.463271,-3.349589,-2.822715,1.1136819999999998,0.5268739999999998
st343,-4.472042,-3.343206,-2.82075,1.1288360000000002,0.522456
st345,-4.4788,-3.335902,-2.8169,1.1428979999999995,0.519002
st347,-4.481781,-3.328094,-2.811589,1.1536869999999997,0.516505
st349,-4.48032,-3.31986,-2.804827,1.16046,0.5150329999999999
st351,-4.476081,-3.311556,-2.796401,1.1645249999999998,0.515155
st353,-4.470968,-3.303816,-2.786415,1.1671520000000002,0.517401
st355,-4.464712,-3.29678,-2.775571,1.1679319999999995,0.5212090000000003
st357,-4.455994,-3.289821,-2.764485,1.1661729999999997,0.5253359999999998
st359,-4.444117,-3.282075,-2.752804,1.1620420000000005,0.529271
st361,-4.429847,-3.273447,-2.740072,1.1563999999999997,0.5333749999999999
st363,-4.413846,-3.264012,-2.726544,1.1498340000000002,0.5374680000000001
st365,-4.396277,-3.25333,-2.712987,1.1429470000000004,0.540343
st367,-4.377194,-3.240781,-2.699556,1.136413,0.5412250000000003
st369,-4.356461,-3.226631,-2.685831,1.1298300000000006,0.5408
st371,-4.333341,-3.212147,-2.67208,1.121194,0.5400670000000001
st373,-4.307066,-3.1982,-2.659202,1.108866,0.5389979999999999
st375,-4.279021,-3.184696,-2.647773,1.094325,0.5369230000000003
st377,-4.250259,-3.171614,-2.63754,1.078645,0.5340739999999999
st379,-4.22034,-3.160029,-2.628594,1.060311,0.5314350000000001
st381,-4.189526,-3.150805,-2.621447,1.0387209999999998,0.5293580000000002
st383,-4.160584,-3.143496,-2.616077,1.0170880000000002,0.5274189999999996
st385,-4.136246,-3.137094,-2.611353,0.999152,0.525741
st387,-4.117031,-3.131503,-2.606033,0.985528,0.5254699999999999
st389,-4.10306,-3.127436,-2.600035,0.9756240000000004,0.5274009999999998
st391,-4.096057,-3.124561,-2.593347,0.971496,0.5312139999999999
st393,-4.098423,-3.121621,-2.585273,0.9768020000000002,0.5363480000000003
st395,-4.109764,-3.118068,-2.575063,0.991696,0.543005
st397,-4.127476,-3.114913,-2.563912,1.0125629999999997,0.5510009999999999
st399,-4.148949,-3.112956,-2.554037,1.035993,0.5589189999999999
st401,-4.17319,-3.111592,-2.545893,1.061598,0.565699
st403,-4.199043,-3.110093,-2.538725,1.0889499999999996,0.5713680000000001
st405,-4.223895,-3.108996,-2.533287,1.114899,0.5757089999999998
st407,-4.245743,-3.10946,-2.530729,1.1362830000000002,0.5787309999999999
st409,-4.264511,-3.111426,-2.53015,1.153085,0.5812759999999999
st411,-4.281826,-3.113885,-2.530213,1.167941,0.583672
st413,-4.298662,-3.116364,-2.53118,1.1822980000000003,0.5851839999999999
st415,-4.314867,-3.119333,-2.534078,1.1955339999999994,0.5852550000000001
st417,-4.330134,-3.122858,-2.538345,1.2072760000000002,0.5845129999999998
st419,-4.344557,-3.126166,-2.542598,1.218391,0.5835680000000001
st421,-4.353298,-3.128806,-2.546815,1.2244919999999997,0.5819909999999999
st423,-4.352008,-3.131279,-2.552179,1.2207289999999995,0.5791
st425,-4.350167,-3.134475,-2.55946,1.2156919999999998,0.575015
st427,-4.350192,-3.138428,-2.56784,1.2117639999999996,0.5705880000000003
st429,-4.352263,-3.142669,-2.576503,1.2095939999999996,0.566166
st431,-4.355667,-3.146907,-2.585525,1.2087600000000005,0.561382
st433,-4.359795,-3.15126,-2.595182,1.208535,0.5560780000000003
st435,-4.364562,-3.155665,-2.604684,1.2088970000000003,0.5509809999999997
st437,-4.370069,-3.15996,-2.613085,1.210109,0.546875
st439,-4.376099,-3.164081,-2.620518,1.212018,0.5435629999999998
st441,-4.382192,-3.168216,-2.627919,1.2139759999999995,0.5402970000000002
st443,-4.388558,-3.172813,-2.635891,1.2157449999999996,0.5369220000000001
st445,-4.395622,-3.178226,-2.644207,1.2173960000000004,0.5340189999999998
st447,-4.403331,-3.184649,-2.652797,1.2186819999999998,0.5318519999999998
